Name Die stolzen Deutschen
# Andrew Stainer
Description Beweisen Sie dem Rest Europas die technologische Überlegenheit Ihres Landes auf dem Avus. Fahren Sie den Mercedes 154 von ganz hinten an die Spitze des Feldes und halten Sie diese Position bis zum Ende des Rennens.
Difficulty Mittel
SuccessValue 1
Goal Position
Position 1
SuccessString Gut gemacht. Sie haben Ihr Land sehr stolz gemacht.
FailureString Sie haben Ihr Land vor ganz Europa blamiert Suchen Sie sich schon mal einen neuen Job.
Track Avus
TrackPosition 7
Laps 10
Cars 10
Car0 15
Car1 52
Car2 19
Car3 11
Car4 24
Car5 32
Car6 21
Car7 22
Car8 18
Car9 41
